Key,Kalue
119115,"['ANDROID', 'IOS', 'FLUTTER', 'RESTFUL API']"
126986,
154413,"['ANDROID', 'IOS', 'AWS']"
82449,
129538,"['IOS', 'REACT', 'JAVASCRIPT', 'SQL', 'AWS', 'DOCKER']"
157514,
156546,"['MMO', '기술 관리', '프로젝트 관리', 'RPG', '모바일 게임']"
148430,"['GIT', 'GITHUB', 'ANDROID', 'AZURE', 'IOS', 'LINUX', 'MYSQL', 'REACT', 'C / C++', 'HTML', 'JAVA', 'JAVASCRIPT', 'KOTLIN', 'NODE.JS', 'OBJECTIVEC', 'PHP', 'PYTHON', 'SQL', 'SWIFT', 'AWS', 'C++', 'REST', 'ISO', 'DOCKER', 'SHELL SCRIPTING', 'SPRING FRAMEWORK', 'JPA', 'FLUTTER', 'KUBERNETES']"
76778,
148483,
160619,['IOS']
139226,"['GIT', 'MYSQL', 'JAVA', 'JAVASCRIPT', 'REACT.JS', 'SPRING BOOT']"
160424,"['ORACLE', 'JAVA', 'SPRING FRAMEWORK', 'RESTFUL WEBSERVICES', 'RESTFUL ARCHITECTURE']"
136895,"['GITHUB', 'LINUX', 'PYTORCH', 'TENSORFLOW', 'PYTHON', 'DOCKER', 'POSTGRESQL', 'RHEL', 'UBUNTU', 'OPENCV', 'FASTAPI']"
34518,
159559,"['REACT', 'JAVASCRIPT', 'JSP', 'NODEJS', 'VUE.JS']"
155947,"['ANDROID', 'KOTLIN', 'MVVM', 'HILT', 'FLOW']"
92376,"['HADOOP', 'SCIKIT-LEARN', 'SPARK', 'TENSORFLOW', 'PYTHON', 'SQL', 'TABLEAU', 'GO']"
19232,
112250,"['GIT', 'ANDROID', 'IOS', 'MYSQL', 'VUEJS', 'HTML', 'JAVA', 'JAVASCRIPT', 'AWS', 'JQUERY', 'BOOTSTRAP', 'JSP', 'SPRING FRAMEWORK', 'AXURE', 'FIGMA']"
163137,"['JAVA', 'AWS', 'SPRING BOOT']"
152109,
155674,"['MYSQL', 'REACT', 'JAVASCRIPT', 'SPRING FRAMEWORK']"
148421,"['GIT', 'GITHUB', 'ANDROID', 'AZURE', 'IOS', 'LINUX', 'MYSQL', 'REACT', 'C / C++', 'HTML', 'JAVA', 'JAVASCRIPT', 'KOTLIN', 'NODE.JS', 'OBJECTIVEC', 'PHP', 'PYTHON', 'SQL', 'SWIFT', 'AWS', 'C++', 'REST', 'ISO', 'DOCKER', 'SHELL SCRIPTING', 'SPRING FRAMEWORK', 'JPA', 'FLUTTER', 'KUBERNETES']"
80390,
156317,"['GIT', 'FIREBASE', 'C#', 'PYTHON', 'AWS', 'FLUTTER']"
132036,"['GIT', 'IOS', 'MYSQL', 'C#', 'HTML', 'JAVA', 'JAVASCRIPT', 'PYTHON', 'C', 'JQUERY', 'SPRING FRAMEWORK', 'WPF', 'WINFORM']"
133174,"['HADOOP', 'LINUX', 'REACT', 'C / C++', 'JAVASCRIPT', 'PYTHON', 'SQL', 'C++', 'DOCKER', 'SPRING FRAMEWORK', 'MSSQL', 'KUBERNETES']"
142180,"['GITHUB', 'AZURE', 'KOTLIN', 'PYTHON', 'AWS', 'JENKINS', 'ETL', 'SPRING FRAMEWORK', 'GCP', 'GOLANG', 'SPRING BOOT', 'KUBERNETES']"
159707,
110072,"['BITBUCKET', 'GIT', 'JIRA', 'AZURE', 'AWS', 'DEVOPS', 'ITIL', 'KUBERNETES']"
151205,
161840,
64709,"['C / C++', 'HTML', 'JAVASCRIPT', 'PYTHON']"
107044,
155316,"['JAVA', 'API', 'SPRING BOOT']"
160203,"['GIT', 'ANDROID', 'IOS', 'MYSQL', 'JAVASCRIPT', 'KOTLIN', 'NODE.JS', 'PHP', 'SWIFT', 'AWS', 'PRODUCT MANAGEMENT ', 'SPRING FRAMEWORK', 'QA 엔지니어링']"
152204,"['GIT', 'REACT', 'JAVASCRIPT', 'NODE.JS', 'VISUAL STUDIO', 'SPRING BOOT', 'VUE.JS']"
144301,"['GIT', 'EXPRESSJS', 'LINUX', 'MYSQL', 'JAVASCRIPT', 'NODEJS', 'CENTOS', 'ORM', 'UBUNTU']"
93307,"['SAP', 'SAP ERP', 'SAP 구현', 'SAP SD', 'SAP MM', 'SAP FICO', 'SAP FI', 'SAP HR']"
157106,
157427,"['ZEPLIN', 'CONFLUENCE', 'GIT', 'GITHUB', 'JIRA', 'SLACK', 'REACT', 'REACT NATIVE', 'FIGMA', 'NOTION']"
83608,"['GIT', 'MYSQL', 'REDIS', 'JAVA', 'KOTLIN', 'JENKINS', 'DOCKER', 'ELASTICSEARCH', 'GRADLE', 'JPA', 'NGINX', 'SPRING BOOT']"
51850,"['LINUX', 'HTML', 'JAVASCRIPT', 'PHP', 'SQL']"
105058,"['MYSQL', 'REACT', 'SWIFT', 'MVVM', 'RDBMS', 'RX', 'FLUTTER']"
164509,"['NODE.JS', 'TYPESCRIPT', 'AWS']"
161398,
162643,"['LINUX', 'C / C++', 'PYTHON', 'C++', '인터페이스', '펌웨어', 'WPF', 'RTOS', 'EMBEDDED LINUX', 'QT', 'MFC']"
148848,"['LINUX', 'VUEJS', 'C / C++', 'C#', 'CSS', 'JAVASCRIPT', 'PYTHON', 'DOCKER', 'POSTGRESQL', 'NODEJS', 'MFC', 'SPRING BOOT', '전자정부프레임워크']"
145558,"['GIT', 'GITHUB', 'REACT', 'VUEJS', 'JAVA', 'AWS', 'DOCKER', 'SPRING FRAMEWORK', 'JPA', 'SPRING BOOT']"
113536,
152981,['GITHUB']
158621,
155151,
93006,"['GIT', 'GITHUB', 'RUBY ON RAILS', 'HTML', 'NODE.JS', 'PYTHON', 'SQL', 'AWS', 'REACT.JS', 'REACT NATIVE']"
158790,
145497,
163690,"['AZURE', 'PYTORCH', 'PYTHON', 'AWS', 'DEVOPS', 'ML']"
151080,
161246,['SPRING FRAMEWORK']
135628,"['REACT', 'VUEJS', 'CSS', 'HTML', 'JAVA', 'JAVASCRIPT', 'TYPESCRIPT', 'SPRING FRAMEWORK', 'KUBERNETES']"
120544,
140403,"['GRAPHQL', 'MONGODB', 'MYSQL', 'ORACLE', 'REDIS']"
118173,"['MONGODB', 'PYTHON', '금융', 'API', 'NOSQL', 'ELASTICSEARCH', 'API 개발']"
159548,"['PYTHON', 'C++', 'API', 'ORM', 'ROS', 'RESTFUL API']"
147092,['REACT']
75864,"['GIT', 'MYSQL', 'CSS', 'JAVASCRIPT', 'KOTLIN', 'OBJECTIVEC', 'SWIFT', 'C++', 'JQUERY', 'HTML5', 'CSS3']"
160407,"['GIT', 'JAVASCRIPT', 'POSTGRESQL', 'KUBERNETES', 'NEST.JS', 'VUE.JS']"
150696,
150247,"['ANDROID', 'JAVA', 'KOTLIN', '안드로이드 개발', 'FLUTTER']"
143287,
81207,
163272,"['GITHUB', 'DJANGO', 'FIREBASE', 'PYTHON', 'GOOGLE ANALYTICS', 'AWS', 'FLUTTER']"
134228,"['GIT', 'GITHUB', 'REACT', 'JAVASCRIPT', 'PYTHON', 'AWS', 'DOCKER', 'POSTGRESQL', 'SPRING FRAMEWORK', 'JPA']"
115294,"['LINUX', 'C / C++', 'PYTHON', 'IOT', 'C++', '펌웨어', 'ML']"
93070,"['GITHUB', 'PYTORCH', 'SPARK', 'PYTHON', 'AWS', 'DOCKER', 'KUBERNETES']"
118481,"['BITBUCKET', 'REACT', 'TYPESCRIPT', 'AWS', 'NEXT.JS']"
156387,"['JAVA', 'KOTLIN', 'SCALA', 'AWS', 'SPRING BOOT', 'KUBERNETES']"
38344,
152971,"['ANGULARJS', 'JAVA', 'JAVASCRIPT', 'SPRING FRAMEWORK', 'JPA', 'REACT.JS', 'VUE.JS']"
146910,"['JAVA', 'JAVASCRIPT', 'JQUERY', 'RDBMS', 'SPRING FRAMEWORK']"
158496,"['HADOOP', 'LINUX', 'REACT', 'C / C++', 'JAVASCRIPT', 'PYTHON', 'SQL', 'C++', 'DOCKER', 'SPRING FRAMEWORK', 'MSSQL', 'KUBERNETES']"
162463,"['ANDROID', 'JAVASCRIPT', 'TYPESCRIPT', 'REACT.JS', 'REDUX', 'NEXT.JS']"
102299,"['DJANGO', 'REACT', 'PYTHON', 'TYPESCRIPT', 'AWS', 'DOCKER', 'POSTGRESQL', 'NEXT.JS']"
162509,"['ANDROID', 'DJANGO', 'IOS', 'REACT', 'NODE.JS', 'LARAVEL', 'REACT NATIVE', 'SPRING BOOT', 'FLUTTER', 'NEST.JS']"
157624,
138121,"['MONGODB', 'REDIS', 'JAVASCRIPT', 'NODE.JS', 'REACT.JS', 'ES6', 'NEXT.JS']"
165290,"['GIT', 'GITHUB', 'JIRA', 'PYTHON', 'C', 'GOLANG']"
162994,
129996,"['GITHUB', 'REACT.JS', 'KUBERNETES']"
144457,"['DJANGO', 'REACT', 'AWS', 'REACT NATIVE']"
135592,
139814,"['GIT', 'ANDROID', 'LINUX', 'REACT', 'C / C++', 'HTML', 'JAVA', '펌웨어']"
164412,
125111,"['GIT', 'ANDROID', 'IOS', 'JAVA', 'JAVASCRIPT', 'NODE.JS', 'PYTHON', 'OOP', 'AWS', 'SAAS']"
156429,"['JAVA', 'RDBMS', 'SPRING FRAMEWORK']"
131652,
141603,"['MYSQL', 'REACT', 'HTML', 'JAVASCRIPT', 'TYPESCRIPT', 'C++', 'NOSQL', 'POSTGRESQL']"
158928,"['LINUX', 'ORACLE', 'JAVA', 'JSP', 'SPRING BOOT']"
163322,['GIT']
155156,"['GIT', 'MYSQL', 'PYTHON', '개발', 'AWS', '솔루션 개발']"
164754,"['IP', '일본어']"
158883,"['GIT', 'GITHUB', 'LINUX', 'MONGODB', 'MYSQL', 'REACT', 'HTML', 'JAVASCRIPT', 'AWS', 'DOCKER']"
154341,
146181,"['GIT', 'EXPRESSJS', 'REACT', 'CSS', 'HTML', 'JAVASCRIPT', 'TYPESCRIPT', 'AWS', 'NODEJS']"
143200,
127334,"['GIT', 'VUEJS', 'JAVASCRIPT', 'NODE.JS', 'TYPESCRIPT', 'AWS', 'REACT.JS']"
160371,"['MYSQL', 'CSS', 'HTML', 'JAVASCRIPT', '웹 개발', 'APACHE']"
106024,"['ZEPLIN', 'ANDROID', 'ETHEREUM', 'IOS', 'CSS', 'HTML', 'JAVA', 'JAVASCRIPT', 'KOTLIN', 'NODE.JS', 'PHP', 'SWIFT', 'MVC', 'MVVM', 'API', 'NODEJS', 'SPRING FRAMEWORK', 'API 개발', 'LARAVEL', 'CAKEPHP', 'FIGMA']"
145632,"['MONGODB', 'WINDOWS EMBEDDED', 'DELPHI', 'HTTP', 'RESTFUL ARCHITECTURE']"
142259,
28711,
105444,"['JAVASCRIPT', 'HTML5', 'CSS 자바 스크립트']"
