Key,Value
159559,"['React', 'JavaScript', 'JSP', 'NodeJS', 'Vue.JS']"
155947,"['Android', 'Kotlin', 'MVVM', 'Hilt', 'Flow']"
92376,"['Hadoop', 'Scikit-Learn', 'Spark', 'Tensorflow', 'Python', 'SQL', 'Tableau', 'Go']"
19232,
112250,"['Git', 'Android', 'iOS', 'MySQL', 'VueJS', 'HTML', 'Java', 'JavaScript', 'AWS', 'jQuery', 'Bootstrap', 'JSP', 'Spring Framework', 'Axure', 'Figma']"
163137,"['Java', 'AWS', 'Spring Boot']"
152109,
155674,"['MySQL', 'React', 'JavaScript', 'Spring Framework']"
148421,"['Git', 'Github', 'Android', 'Azure', 'iOS', 'Linux', 'MySQL', 'React', 'C / C++', 'HTML', 'Java', 'JavaScript', 'Kotlin', 'Node.js', 'ObjectiveC', 'PHP', 'Python', 'SQL', 'Swift', 'AWS', 'C++', 'REST', 'ISO', 'Docker', 'Shell Scripting', 'Spring Framework', 'JPA', 'Flutter', 'Kubernetes']"
80390,
156317,"['Git', 'Firebase', 'C#', 'Python', 'AWS', 'Flutter']"
132036,"['Git', 'iOS', 'MySQL', 'C#', 'HTML', 'Java', 'JavaScript', 'Python', 'C', 'jQuery', 'Spring Framework', 'WPF', 'WinForm']"
133174,"['Hadoop', 'Linux', 'React', 'C / C++', 'JavaScript', 'Python', 'SQL', 'C++', 'Docker', 'Spring Framework', 'MSSQL', 'Kubernetes']"
142180,"['Github', 'Azure', 'Kotlin', 'Python', 'AWS', 'Jenkins', 'ETL', 'Spring Framework', 'GCP', 'Golang', 'Spring Boot', 'Kubernetes']"
159707,
110072,"['BitBucket', 'Git', 'JIRA', 'Azure', 'AWS', 'DevOps', 'ITIL', 'Kubernetes']"
151205,
161840,
64709,"['C / C++', 'HTML', 'JavaScript', 'Python']"
107044,
155316,"['Java', 'API', 'Spring Boot']"
160203,"['Git', 'Android', 'iOS', 'MySQL', 'JavaScript', 'Kotlin', 'Node.js', 'PHP', 'Swift', 'AWS', 'Product Management ', 'Spring Framework', 'QA 엔지니어링']"
152204,"['Git', 'React', 'JavaScript', 'Node.js', 'Visual Studio', 'Spring Boot', 'Vue.JS']"
