id,title,company,location,tags,qualifications,preferred,benefits,skills,workplace
161993,"AI Data Scientist, AI 분석가",애자일소다,"['서울', '한국']","['연봉업계평균이상', '인원급성장', '51~300명', '설립4~9년', '유연근무', '스톡옵션', '간식', '인공지능', 'IT, 컨텐츠']","['•  ML/DL 등 모델링에 활용하는 언어 및 도구를 하나 이상 다룰 수 있는 분', '   ※ 언어 : Python, R등.  ', '   ※ 도구 : Tensorflow, PyTorch 등', '•  ML/DL 알고리즘에 대한 이해 및 설명이 가능하신 분']","['• ML/데이터마이닝 유경험자', '• 통계/수학 등 관련 분야 전공자', '• 데이터를 가공하여 모델 개발/검증까지 도출 경험이 있으신 분', '• 딥러닝 혹은 머신러닝을 활용한 분석 과제 또는 공모전 경험자 ', '• 논문 게재 유경험자', '• 문서 작성에 유능한 분']","['• 문화 마일리지제도', '• 유연근무제도 시행 ', '• 간식 무한 제공', '• 명절 상품권 및 선물지급', '• 생일, 입사기념일 상품권 지급', '• 경조휴가 및 경조금 지급', '• 동료추천 포상금', '• 장기 근속 포상제도', '• 직무 발명 포상제도', '• 스톡옵션 제도', '• 인센티브 지급', '• 점심식대 실비지원 등']","['React', 'HTML', 'JavaScript', 'TypeScript']",서울시 강남구 선릉로 525 인포스톰빌딩 3층
122809,B2B 프론트엔드 개발자,와드(캐치테이블),"['경기', '한국']","['연봉업계평균이상', '인원급성장', '51~300명', '설립4~9년', '음료', '커피', '간식', '택시비', 'IT, 컨텐츠']","['• 경력 5년 이상 또는 그에 준하는 경험을 하신 분', '• React 사용 경험이 있으신 분', '• UX/UI 개발 경험이 있으신 분', '• 유관 팀과 원활한 커뮤니케이션이 가능한 분']","['• 캐치테이블 비즈니스에 관심이 많은 분', '• 아래 기술스택에 대한 경험이 다수 있는 분', '', '- 주요 기술 : React.js, TypeScript, Recoil, Redux, vanilla-extract, Nx, StoryBook', '- 업무 도구 : Git, Slack, Redmine, Asana, Notion', '- 코드 리뷰 : Github PR', '- 빌드, 배포 자동화 : GitHub Actions', '- 컨벤션 : ESLint, Prettier, TypeScript']","['[당신의 성장이 곧 캐치테이블의 성장]', '', '- 독서모임을 위한 도서 및 직무 관련 도서, 세미나, 컨퍼런스 등 교육비 전액 지원', '- 미식생활을 즐기는 자가 미식문화를 선도할 수 있음에 연간 캐치포인트 100만원 지원', '- 장기근속 포상 휴가 및 휴가비 지원 (3년: 5일, 100만원 / 5년: 10일, 300만원 / 10년: 20일, 500만원)', '', '', '[일에만 집중할 수 있도록]', '', '- 추가근무수당(1시간당 15,000원) 및 택시비(오후 11시 퇴근 경우) 지원', '- 점심 식사, 추가 근무의 경우 저녁 식사 지원', '- 다양한 음료와 간식, 커피 무제한 제공', '- 최고사양 IT 자산 지급', '- 넓은 오피스 및 편한 인프라 환경을 갖춘 판교 유스페이스 입주사', '- 선택적 근로시간제 운영(8~10시, 1시간 단위 출근시간 선택)', '- 정밀 건강 검진 2년에 1회 제공', '- 마음 건강검진, 연간 3회 심리상담 지원', '- 복지를 편하게 이용하기 위한 개별 법인카드 지급', '', '[소통&소통]', '', '- 매월 랜덤으로 짝지어 점심 먹는 ‘랜덤 런치 데이’', '- 회사의 비전, 팀의 목표, 향후 계획 등을 CEO가 직접 공유하는 ‘Monthly Growth Meeting’', ""- 개인의 성장에 집중하여 리더와 함께 이야기 나누는 'Monthly Feedback Meeting'"", '', '[기념일도 함께하는 캐치테이블]', '', '- 생일 케이크, 생일 반차 및 상품권 지급', '- 명절(설날, 추석) 반차 및 상품권 지급']",,경기도 성남시 분당구 대왕판교로 660 유스페이스1 A동 605호
160849,웹 퍼블리셔 (주니어),무신사트레이딩,"['서울', '한국']","['자율복장', '건강검진', '복지포인트', '판매, 유통']","['• 기본언어 HTML5, CSS3에 능숙하신 분', '• 반응형, 크로스 브라우징, 모바일 코딩에 대한 이해가 높으신 분', '• e-커머스 솔루션 (카페24/퍼스트몰/쇼피파이 등) 사용 가능하신 분']","['• 관련 업무 경력 2년 이상이신 분', '• e-커머스 플랫폼 퍼블리싱 유관 경력 있으신 분', '• JavaScript, JQuery 활용 가능하신 분', '• 새로운 기술에 대한 열정과 도전정신을 가지신 분', '', '---', '', '[제출서류]', '• 국문 이력서 및 경력기술서', '• 포트폴리오 (*필수) ', '', '*모든 서류는 PDF 파일로 제출해주세요.', '', '[채용과정]', '• 서류 전형 ＞ 과제 전형(퍼블리싱 실무 테스트) ＞ 실무자 면접 ＞ 처우 협의 ＞ 최종 합격', '   (*실무자 면접 이후 필요 시, 추가 면접이 진행될 수 있습니다.) ', '• 서류 제출 시 민감한 개인 정보(주민등록번호, 키, 체중 등)은 포함되지 않도록 유의해주세요.', '• 서류 전형 결과는 합격자에 한해 유선으로 연락 드리고 있습니다.', '', '[근무조건]', '• 고용 형태 : 정규직', '• 입사일로부터 3개월의 수습기간이 있습니다. (기본급 90% 지급)', '• 근무장소 : 서울시 강남구 선릉로93길 35, 나라키움 역삼B빌딩 3층, 4층']","['무신사트레이딩은 임직원의 지속 가능한 성장을 위해 다양한 복리후생 제도를 마련하고 있습니다.', '', '[근무환경]', '• 시차출퇴근제 제도를 통해 자유롭게 본인 근무 시간 설정', '   (*특정 부서의 경우, 업무 특성 상 고정 출퇴근제)', '• 월 1회 Early Friday 운영 (매월 마지막 금요일에는 4시간 근무 후 자유롭게 퇴근!)', '• 자율 복장 근무제 (슬리퍼부터 정장까지 자유롭게 입는 문화)', '• 직급 없이 ‘님’으로 소통', '• 직책자에 한해 연봉 외 수당 지급', '', '[자사채널 구입지원]', '• 월 10만원 한도 자사채널 (무신사스토어, 29CM, 스타일쉐어, 스트리즘, 엠프티 등) 구매 지원', '• 무신사트레이딩에서 운영하는 자사채널 (스트리즘, 엠프티) 할인 쿠폰 발급 (40%~60% 할인)', '', '[복지포인트]', '• 현금처럼 사용 가능한 복지카드 및 복지포인트 지급 (정규직 한정) ', '• 1인당 연간 350만 포인트 (2023년은 135만 포인트 / 중도 입사자의 경우, 월할 지급)', '', '[건강/휴식]', '• 2년에 1회 40만원 상당의 건강검진 지원', '• 본인뿐만 아니라 가족 1인의 건강검진까지 지원', '• 1년에 1회 독감예방접종비 지원', '• 3년, 6년, 9년, 12년 만근 시, 복지포인트 및 포상휴가 제공 (2024년부터 시행)', '• 1일(8시간), 0.5일(4시간), 0.25일(2시간) 단위로 유연하게 사용 가능한 휴가', '', '[사내 생활 지원]', '• 자녀 초등학교 입학 시 입학 축하금, 자녀 대학 입학 시 축하금 지급', '• 임직원 대출이자 지원', '• 경조 휴가 및 경조금 지원']",,"서울특별시 강남구 선릉로 93길 35, 나라키움B빌딩 3,4층"
147170,C/C++개발자,보이스아이,"['서울', '한국']","['인원급성장', '50명이하', '설립3년이하', 'IT, 컨텐츠']","['• C/C++', '• Visual Studio / Linux 빌드 툴 체인 (GCC, Makefile 등)', '• MFC']",['•QT경험'],"['• 하루 6.5시간만 근무합니다', '• 연차사용이 자유롭습니다', '• 징검다리 연휴에는 모두 쉬어요']","['Linux', 'C / C++', 'C', 'C++', 'UNIX', 'Visual Studio', 'MFC', 'GCC']","서울시 송파구 정의로8길 4, 13층"
146654,대출 업무 개발,한국투자증권,"['서울', '한국']","['연봉상위1%', '인원급성장', '퇴사율5%이하', '1,001~10,000명', '설립10년이상', '성과급', '금융']","['Unix, Java, Oracle 프로그램 경험자']",['신용/담보대출 업무 개발 경험자 우대'],"['• 설 상여 80만 원 / 추석 상여 70만원 / 가정의 달 50만원 지급', '• 패스트캠퍼스 등의 직무 교육 100% 비용 지원 및 비직무 교육 50% 지원과 도서 지원', '• 매월 개인연금 지급', '• 학자금 지원 (고등학교/대학교 학자금, 유치원보조비, 특수교육비)', '• 의료비지원', '   -  실비(단체상해보험) - 본인,배우자,건강보험상 피부양자 ', '   -  치과(사내의료비) - 본인,배우자,건강보험상 피부양자 ', '   -  불(난)임(사내의료비) - 본인', '• 대출 지원 (주택구입/전세금대출, 생활안정자금대출)', '• 본인을 비롯한 부모 및 자녀 각종 경조사비 지원 등', '', '', '', '[채용 진행 절차]', '서류전형 ＞ 1차 실무면접 ＞ 2차 임원면접 ＞ 3차 회장단 면접', '', '', '', '* 기타', '• 지원서 내용 중 허위사실이 있는 경우 합격이 취소될 수 있습니다.']","['Android', 'Kotlin']",서울특별시 영등포구 의사당대로 88
160283,프론트엔드 개발자,로그프레소,"['서울', '한국']","['인원급성장', '51~300명', '설립10년이상', '유연근무', '리프레시휴가', '건강검진', '교육비', '재택근무', 'IT, 컨텐츠']","['• 경력 5년 이상', '• Javascript or Typescript 기반 공용 컴포넌트 개발-배포 경험 (프레임워크 무관)', '   • 용도와 맥락이 다른 여러 곳에 재사용 할 수 있는 컴포넌트 개발 경험', '   • 본인 저작물의 실사용자로부터 피드백을 수용해본 경험', '• 웹 표준/웹 접근성, 크로스브라우징 개념 이해', '• 컴퓨터공학 학부 전공, 혹은 그에 준하는 기술 혹은 경험', '• Git 혹은 기타 버전관리 시스템을 사용한 프로젝트 경험', '• 다양한 분야의 사람들과 협업하기 위한 유연하고 친화적인 커뮤니케이션 능력', '• 문제의 근원적 해결에 대한 끈기와 의지', '• 기록과 공유의 중요성을 이해하고 있는 사람', '• (모국어가 한국어가 아닌 경우) TOPIK 6급 또는 한국어로 동료들과 업무 회의 진행에 무리가 없으신 분']","['• 프론트엔드 SDK 혹은 웹 프레임워크 자체 개발 경험', '• 정보보안분야 domain-knowledge 보유자 (혹은 보안관제, SIEM 관리 및 운영)', '• 1개 이상의 백엔드 프로그래밍 언어 사용 경험 (JAVA 혹은 기타 객체지향 언어 선호)', '• RESTful API 설계 및 문서 작성 경험', '• Angular2+ 프레임워크 사용 경험', '• ES6, Vue, React, LESS, Webpack 사용 경험', '• SEO 이해도 및 SSR 개발 경험', '• Canvas, WebGL 사용 경험', '• 컴퓨터공학 유관 학과 석/박사 학위 혹은 그에 준하는 경험 및 실력', '• 4~5인 이상 규모 프로젝트 관리 경험']","['• 자율 재택근무 : 재택근무를 시행하고 있으며, 재택 업무에 필요한 모니터 등 장비를 지원합니다. (담당 업무에 따라 달라질 수 있습니다.)', '• 재택비용 지원 : 효율적인 재택 업무 환경 조성을 위해 매월 재택비용을 지원합니다.', '• 유연근무제 : 팀별로 Core-time (11시-4시) 을 제외한 자유로운 출퇴근(업무시작/종료) 시간을 정할 수 있습니다.', '• 백신휴가 : 코로나19 백신 접종을 위한 백신휴가를 지급하며, 개인별 이상 반응에 따라 자유로이 사용 가능합니다!', '• 역세권 초 근접 사무실 : 환승이 자유로운 공덕역 2분 거리에 위치하고 있어 사무실 업무가 필수인 분들에게도 출퇴근이 편리합니다.', '• 임직원 종합건강검진 : 임직원에게 매년 50만원 상당의 종합 건강검진 프로그램을 제공하며, 소중한 1인에게도 추가 지원합니다.', '• 리프레시 휴가 : 입사 후 근속 만 4년부터, 3년 단위로 10일의 리프레시 유급 휴가를 제공합니다.', '• 개인의 성장을 위한 외부교육 적극 지원 : 별도 승인 없이 연간 60만원까지 교육비 지원하며, 그 이상은 협의하여 지원합니다.', '• 경조금/경조휴가 지원 : 친가/외가, 본인/배우자 동일한 경조 휴가 및 경조금 제도를 운영합니다.', '• 업무용 최신 device 지원 : 맥북/레노버/LG 그램 랩탑과 27인치 4K 모니터 등 업무 최적의 환경을 제공합니다.', '• 타운홀 미팅 개최 : 매월 마지막 금요일에 주요 이슈사항을 공유하고, 구성원의 의견을 수렴하고자 타운홀 미팅을 개최합니다.', '• Family Day : 매월 마지막 금요일은 Family Day 입니다. 타운홀 미팅 종료 후 조기 퇴근하시어 가족 분들과 즐거운 시간 보내세요!']",,서울 마포구 새창로 7 SNU장학빌딩 16층
141473,그룹사 SAP 시스템 CO모듈 운영,한국네트웍스,"['경기', '한국']","['연봉상위6~10%', '퇴사율5%이하', '51~300명', '설립10년이상', '육아휴직', '출산휴가', '워크샵', '사내식당', 'IT, 컨텐츠']","['• 10년 이상 유지보수 경험자', '• SAP CO 모듈 IMG Setting 및 ABAP 개발 가능자']",['• SM업무 경험자 우대'],"['[생활편의] ', '• 조식제공, 중식제공, 통근버스, 사내 동호회 운영, 건강검진, 휴양시설 지원', ' ', '[사내시설]', '• 사내헬스장, 웰니스센터, 샤워실, 사내식당, 사내도서관, 휴게실, 카페테리아, 주차장, 여성전용휴게실', ' ', '[교육·연수]', '• 신입사원 교육(OJT), 직무능력향상교육, 리더십 강화 교육, 사이버 연수원 운영, 자격증 취득 지원', ' ', '[보상·지원]', '• 자녀 학자금, 출산축하금, 주택자금대출, 자사·자회사·계열사 제품 할인, 생일자 상품권, 교육비, 도서구입비, 명절선물, 퇴직금, 각종 경조금, 장기근속자 포상, 우수사원 표창/포상, 인센티브제, 휴일수당, 직책수당, 야간교통비 ', ' ', '[휴무·휴가·행사]', '• 주5일근무, 연차, 반차, 경조휴가, 포상휴가, 산전 후 휴가, 육아휴직, 출산휴가, 보건휴가, 창립일 휴무, 노동절 휴무, 워크샵']","['SAP', 'Git', 'Android', 'Linux', 'Oracle', 'C#', 'Java', 'JavaScript', 'Kotlin', 'SQL', 'MVVM', 'UNIX', 'VM웨어', 'HTML5', '정보 보안', 'Jenkins', 'Maven', 'JSP', 'Oracle SQL', 'Spring Framework', '리팩토링', 'ABAP', 'EAI', 'VMware Infrastructure', 'SAP SD', 'SAP MM', 'SAP FI', 'MSSQL', 'Spring Boot']",경기도 성남시 분당구 판교로
138136,백엔드 개발자,굳갱랩스,"['경기', '한국']","['스톡옵션', '원격근무', '인공지능', '노트북', 'IT, 컨텐츠']","['• 본인의 생각을 말과 코딩으로 잘 표현할 수 있음.', '• 나이/ 성별 /학력 / 전공 무관.', '• 기존의 틀에 의존적이지 않고, 왜 이렇게 개발해야해 라는 의문을 가짐.', '• 웹 서비스에 대한 전반적 이해.', '• Node.js 및 Typescript에 대한 이해.', '• AWS 백엔드 인프라 구성 및 서비스에 대한 이해 (혹은 GCP , AZure).', '• Node.js 및 Typescript에 대한 이해 (혹은 Nest.js, Next.js).']","['• 논리적이고 분석적임.', '• 자가발전 타입.', '• 빠르게 배우고 실행함.', '• REST API  설계 및 서비스 경험.', '• WebSocket / WebRTC 서비스 개발 경험.', '• 각종 문제를 적극적으로 해결하고 이를 즐기는 분.', '• 자기 개발에 적극적이고, 학습과 성장에 관심이 많은 분.']","['• 근무시간 : 정해진 회의 시간을 제외하고, 자유롭게 근무할 수 있습니다.', '• 오피스 & 원격근무 : 주 2회 오피스 출근을 권장합니다. 2023년 1월부터 국내 최고의 환경을 갖춘 오피스로 출근 예정입니다.', '• 휴가 : 별도 승인 없이 필요할 때 슬랙에 미리 공유하고 사용합니다.', '• 장비 : 노트북(또는 PC) 1대, 모니터 1대가 지급됩니다. 업무에 필요한 장비는 별도 지원해드립니다.', '• 개인별 법인카드 : 개인의 업무나 리프레쉬에 필요한 금액(30만원)을 월별로 채워드립니다.', '• 스톡옵션 : 능력 및 퍼포먼스에 따라 지급합니다.', '• 기타 지원: 중소기업 청년 소득세 감면 제도 및 내일채움공제를 지원합니다.']","['Git', 'C#', 'Unity3D']",경기도 성남시 분당구 정자일로 95
146583,Data Ops Engineer,딥메트릭스,"['서울', '한국']","['유연근무', '스톡옵션', '전문연구요원', '인공지능', 'IT, 컨텐츠']","['- Python, Pandas, SQL 등 데이터 처리에 필요한 언어에 능숙하신 분', '- 데이터에 오너쉽을 가지고 필요시 Raw data를 수동으로 확인하며 분석하는 것에 거부감이 없으신 분', '- 팀원 및 타 부서와 협업, 커뮤니케이션이 원활하신 분', '- 문제 해결에 있어 어떡하든 해결방법을 찾으려는 긍정적이고 주도적인 마인드를 가지신분', '- 해외 여행에 결격 사유가 없으신 분']",['- 관련 경력 1년 이상'],"['- 업계 최고 수준의 연봉(best offer 있으실 경우 +@로 matching 가능)과 액면가로 행사가능한 스톡옵션 지급', '- Systemic 한 절차 (Google Perf review)에 따라 성과에 비례한 incentive 제공', '- Top class의 researcher/engineer 동료들', '- Google research 수준의 자율적인 근무 문화 (유연근무제 적극 활용, 출퇴근 시간 자유 보장)', '- 개인 업무 장비 지원']","['Git', 'Linux', 'Pytorch', 'Python', 'SQL', 'AWS']","서울시 관악구 관악로 1, 138동 508호"
163558,백엔드 개발자,맛신저,"['서울', '한국']","['유연근무', '스타트업', '자율복장', '판매, 유통']","['- Java 경력 1년 이상', '- DB 설계 지식 보유', '- RESTful API 개발 및 배포 경험', '- Java, Spring Framework 기반 웹 서비스 개발에 대한 이해', '- e커머스 도메인 이해 및 시스템 설계 가능하신 분', '- Git을 이용한 코드 관리 및 협업 경험', '- 원활한 커뮤니케이션이 가능하신 분', '- 기획자, 디자이너와 밀접하게 협업하여 업무를 진행할 수 있는 분', '- AWS 등 클라우드 플랫폼에 대한 서비스 배포 및 운영 경험이 있으신 분', '', '**[기술 스택]** ', '', '- Front-end: Javascript, React, Next.js', '- App: React Native,', '- Back-end: Java, Spring, JPA', '- Infra: AWS, Docker', '- DB: mySQL, Amazon MariaDB', '- 협업: Git, Notion']","['- 프로젝트 리드 경험', '- 개발팀에서 관리자급 경험이 있으신 분', '- 코드 최적화 및 퍼포먼스 향상에 관심이 많으신 분', '- 업무 효율 향상 및 자동화에 관심이 많으신 분', '- 스타트업에 일해 본 경험이 있으신 분']","['- 4대보험', '- 00님 문화', '- 유연근무제', '- 자율 연차', '- 자율 복장']","['React', 'JavaScript', 'React Native']",강남구 논현로72길 16 초원빌딩(역삼동)
