id,job,title,company,location,tags,qualifications,preferred,benefits,skills,workplace
45603,웹 개발자,백엔드 개발자,한국공간데이터,"['서울', '한국']","['인원급성장', '51~300명', '설립4~9년', '스타트업', '커피', '과일', '간식', '건강검진', 'IT, 컨텐츠']","['＜이런 분을 기다리고 있습니다＞', '', '• 하나 이상의 언어를 깊이 이해하고 프로젝트에 적용해 보신 경험이 있으신 분', '• Java, Kotlin, Python 등을 사용하여 백엔드 서비스를 개발해 본 3년 이상의 경험을 가지신 분', '• 관계형 데이터베이스(RDBMS)에 대한 이해가 있고 업무에 활용해 본 경험이 있으신 분', '• Git, Jira, Monday 등의 협업 도구를 활용해 보신 분', '• 동료들과 협업하며 도움을 주실 수 있는 분']","['＜이런 경험이 있다면 더욱 좋습니다＞', '', '• 클라우드 서비스 (AWS/GCP) 사용 경험이 있으신 분', '• SaaS 플랫폼의 설계 및 구축 경험이 있으신 분', '• HTTP, Rest API, OAuth 등 인터넷 기반 프로토콜 및 기술에 대한 이해 및 경험이 있으신 분', '• 자료구조, 객체지향, 데이터베이스, 알고리즘 등 Computer Science 지식이 탄탄하신 분', '• 새로운 도전을 즐기시는 분']","['** 한국공간데이터의 개발 문화는 함께 문제를 고민하며 계획하고 해결해 나가는 것이라고 할 수 있습니다. 각 개발자들은 먼저 풀어야 할 문제를 정의하고 계획한 다음, 같이 검토하고 나서 개발을 시작합니다. 이런 방법을 통해 비효율적인 낭비를 막을 수 있으며 도달하고 싶은 목표를 빠르게 달성할 수 있습니다. 또한 서비스의 다양한 메트릭 지표 및 오류까지도 데이터화해서 다시 서비스 개발에 반영하는 선순환 구조를 지향합니다.', '', '', '＜다음과 같은 환경에서 즐겁게 일하실 수 있습니다＞', '', '• 맥 기반의 개발 환경을 맞추어 드립니다.', '• 사고 싶은 책과 업무에 필요한 교육을 지원해 드려요.', '• 맛있는 간식, 커피를 무한으로 즐길 수 있어요.', '• 업무가 끝났으면 당당하게 퇴근합니다. (눈치보면 이상한 사람 취급받아요!)', '• 용무가 있을 시 자유롭게 휴가를 사용합니다.', '• 주 1회 동료 개발자들과 기술적인 성장을 위한 세미나를 하며 논의를 합니다.', '• 생일날은 유급으로 반차를 제공합니다.', '• 건강을 위한 건강검진 할인을 제공해 드려요.']",,서울특별시 서초구 서초대로46길 19-12 서초안빌딩 2층
158142,웹 개발자,프론트엔드 소프트웨어 엔지니어(2년 이상),제이펀,"['서울', '한국']","['인원급성장', '50명이하', '설립4~9년', '유연근무', '자율복장', '간식', '교육비', 'IT, 컨텐츠']","['• React 또는 Vue, Angular와 같은 프론트엔드 프레임워크에 능숙하신 분', '• HTML, CSS, JavaScript에 대한 깊은 이해가 있는 분', '• TypeScript를 실무에 적용한 경험이 있는 분', '• Git과 GitHub를 사용한 버전 관리와 협업에 익숙한 분', '• 테스트 자동화 및 테스트 주도 개발에 경험이 있는 분', '• 백엔드 개발자, 프로덕트 매니저, 프로덕트 디자이너 등 동료와 협업 경험이 있는 분', '• 다양한 브라우저 환경에 대응하는 서비스 개발 경험이 있는 분', '• 하나의 웹 서비스를 지속적으로 발전시킨 경험이 있는 분']","['• UI/UX에 대한 이해와 관심이 많은 분', '• 디자인 시스템 개발에 대한 경험이 있는 분', '• 테스트 자동화 및 테스트 주도 개발 경험이 있는 분', '• 애자일 방법론에 대한 경험이 있는 분', '• React 또는 Vue, Angular와 같은 프레임워크 사용경험']","['• 유연근무제 ', '• 패밀리데이, 명절 연휴 전날 조기퇴근제도', '• 간식 무한 제공', '• 업무 관련 교육 지원(교육비, 도서구입비)', '• 생일자 상품권 선물지급, 명절 선물지급', '• 자사브랜드 제품 구매혜택', '• 전직원 듀얼모니터 지원 및 최신 고급 장비 지원', '• 각종 경조사 휴가 및 경조비 지원', '• 자율복장', '• 다양한 복지제도를 도입하기 위해 준비중']","['AngularJS', 'MySQL', 'React', 'VueJS', 'HTML', 'JavaScript', 'Python', 'TypeScript', 'AWS', 'DevOps', 'Jenkins', 'Docker', 'NodeJS']","가산디지털1로 128, 1001호"
75585,웹 개발자,병원 SW 산업기능요원(보충역) 개발자,전능아이티,"['서울', '한국']","['인원급성장', '51~300명', '설립10년이상', '간식', '휴게실', '안마의자', '건강검진', '자기계발', 'IT, 컨텐츠']","['• 정보처리업종 산업기능요원 자격 보유자 (보충역)', '• (4년제 대학) 컴퓨터공학 관련 전공자']","['• 프로그램 개발 경험', '• C#, Android, react, nodejs, css 사용 경험', '• database 기술(SQL Server, MySQL, PostgreSQL)', '• AWS 사용 경험']","['• 사내 휴게실 구비 (간식 무한 제공, 취식 공간, 안마의자)', '• 자유 복장 출근, 정시 퇴근 보장', '• 건강검진, 직원대출제도, 각종 경조사 지원', '• 콘도/리조트 이용권', '• 도서구입비 지원, 자기 계발비 지원']","['.NET', 'MySQL', 'C#', 'Node.js', 'MSSQL']","서울시 서초구 효령로53길 21, 신성빌딩 2층"
158805,웹 개발자,시니어 프론트엔드 개발자(5년 이상),콘텐츠퍼스트(Tappytoon/태피툰),"['서울', '한국']","['연봉업계평균이상', '인원급성장', '51~300명', '설립10년이상', '리프레시휴가', '상여금', '커피', '간식', 'IT, 컨텐츠']","['• 웹/앱 프론트엔드 개발 경력 5년 이상이신 분', '• React 기반의 SPA 프레임워크 사용에 능숙하신 분', '• 어플리케이션 상태 관리 처리에 대한 이해가 깊으신 분(Redux, Recoil, Zustand 등)', '• 제품 개발의 A-Z를 경험해보고, 전반적인 제품 설계에 어려움이 없으신 분', '• 제품에 적절한 기술 스택을 선택하고 개발환경 구축이 능숙하신 분', '• 프론트엔드 공용 라이브러리 구성 및 개발 경험이 있으신 분']","['• 문제 해결에 진취적이고, 새로운 기술 습득에 거부감이 없으신 분', '• React-Native 앱 개발 경험이 있으신 분', '• 안드로이드 또는 iOS 네이티브 앱 개발 경험이 있으신 분', '• 디자인 시스템에 대한 이해 혹은 구성 경험이 있으신 분', '• 웹 혹은 앱 성능 최적화에 대한 고민 및 관련 문제를 해결한 경험이 있으신 분', '• 애자일 방법론과 코드 리뷰를 기반으로 한 프로젝트 진행이 가능하신 분']","['1) 수평적인 글로벌 문화와 자율적인 근무 환경을 제공합니다!', '• 북미, 유럽 중심의 글로벌 서비스 경험', '• 다국적의 훌륭한 동료들과의 협업', '• 자율출퇴근제도 (오전 8시~10시 자유롭게 출근)', '• 선택적 재택근무 제도 시행', '• 영어 닉네임 사용', '', '2) 업무의 몰입과 성장을 위하여 아낌없이 지원합니다!', '• 매년 인센티브 및 명절 상여금 지급', '• 장기근속자 포상제도 (3년 / 5년 / 10년)', '• 최고 사양의 장비와 소프트웨어 지급', '• 성장을 위한 외부 교육 & 세미나 참가비, 도서 구매비 지원', '• Welcome Kit 지급', '', '3) 식사와 간식을 풍족하게 지원합니다!', '• 식대 포인트 지급 (feat. 페이코: 제휴 음식점, 배달 서비스 등)', '• 스낵24 간식 큐레이팅 서비스', '• 네스프레소 캡슐 커피머신', '', '4) 당신의 건강과 휴식을 서포트합니다!', '• 자율적인 휴가 사용', '• 경조금 및 경조휴가 지원', '• 전 직원 리프레시 휴가 제공 (매년 연차 외 4일)', '• 생일 축하 선물 지급 (생일24)', '• 유료 종합 건강검진 제공 (년 1회)']",,"서울 강남구 테헤란로 211, 6층(역삼동, 한국고등교육재단)"
145153,웹 개발자,PHP 개발자,디쉐어,"['서울', '한국']","['퇴사율5%이하', '51~300명', '설립4~9년', '커피', '인공지능', '교육']",['• PHP 서비스 개발 경험 5년 이상'],"['• PHP 프레임워크 기반 개발 경력이 있으신 분', '• PHP 레거시 코드 개발 및 리팩토링 경험이 있으신 분', '• AWS, MySQL 운영 경험이 있으신 분', '• Jira, confluence, slack, github 등 협업 시스템을 경험하신 분', '', '* 개인 github 계정 표기는 옵션']","['• 자율과 효율성에 기반한 최적의 근무환경 ', '• 잠실역 5분 거리 사무실 (롯데월드타워에 위치해 있어요!)', '• 점심시간 1시간 30분!', '• 월 1회 팀 점심 회식 ,생일자 파티 지원!', '• 코딩 교육 플랫폼 지원 및 세미나를 통한 지식 공유', '• 도서비 제공', '• 자유로운 휴가 사용', '• 다과 및 간편 식사 무한 제공! (컵라면, 커피, 즉석밥 등)', '• 각종 경조금 지원', '• 직계가족 1인 포함 건강검진 지원', '• 맥북프로, 4K 모니터 등 업무용 최신장비 및 소프트웨어 제공']","['MySQL', 'Python', 'FastAPI']","송파구 올림픽로 300, 롯데월드타워 디쉐어"
72540,웹 개발자,"백엔드 개발자 (JAVA, Spring)",에이미랩스,"['서울', '한국']","['인원급성장', '50명이하', '설립4~9년', '리프레시휴가', '스타트업', '커피', '간식', 'IT, 컨텐츠']","['• 백엔드 개발 경력 3년 이상', '• AWS, GCP 등 클라우드 서비스에 대한 이해 및 사용 경험 있으신 분', '• 웹서비스의 전체적인 흐름을 이해하고 설계/개발할 수 있는 분', '• RESTful API 서버 개발 경험 및 운영 경험이 있으신 분', '• 엔지니어링 팀을 직접 만들거나, 혹은 리더로서 역할 수행 경험이 있으신 분', '• 소규모 팀(기획, 디자이너, 운영 등)의 다양한 직군과 직접 커뮤니케이션을 하며 협업을 경험해 보신 분']","['• Agile, Lean 방식의 프로세스에서 개발해보신 분', '• 애자일 스프린트, MVP 단위 개발방식의 프로세스에서 개발 경험이 있는 분', '• 개발팀 문화에 대해서 자신만의 철학과 리딩 방식이 있는 분', '• 인프라/백엔드/프론트엔드 전반에 걸친 이해가 높으신 분', '• 스타트업 또는 새로운 서비스를 만드는 팀의 일원으로 업무를 경험해보신 분', '• 빠르게 성장하는 모바일 서비스의 엔지니어링 리더 경험', '• 외주 개발자와 협업, 개발한 경험이 있으신 분']","['• 맥북 프로 및 4K 모니터 제공', '• 간식 및 커피 지원', '• 도서구입비 및 교육 지원 ', '• 소프트웨어 지원', '• 자유로운 연차 사용', '• 3년 근속 시 리프레시 휴가 2주 제공', '• 경조 휴가 및 경조금', '', '+ 이외 건의 해 주시는 의견들']","['MySQL', 'Java', 'AWS', 'Spring Framework']","서울 종로구 종로 6 광화문우체국, 스타트업빌리지 5층"
154356,웹 개발자,"웹/앱 서비스 기획자(PM, 3년 이상)",디오비스튜디오,"['서울', '한국']","['스타트업', '와인', '간식', '인공지능', 'IT, 컨텐츠']","['• 경력 3년~6년 ', '• 앱 기반의 서비스 기획을 3년 이상 경험해보신분', '• 디오비스튜디오 서비스의 방향성에 공감하실수 있는 분 ', '• 앱의 개발, 기획 경험을 보유하신분(기능 정의 및 상세 와이어프래임 작업)', '• 데이터 기반 사용자 분석, 서비스 지표 분석에 경험이 있는분', '• Figma 등의 툴을 사용하여 서비스를 기획해본 경험이 있는분', '• 서비스 FLOW 구성, 스토리보드 작성, 정책 정의 및 수립 관련 전문성이 있는분', '• Notion, Slack 등으로 정리/보고/공유에 익숙하신분']","['• 활동/경험 : 해당직무 근무경험', '• 앱, 웹 개발자 및 디자이너와 소통하여 프로젝트를 수행한 경험이 있으신 분', '• 원활한 커뮤니케이션 능력을 바탕으로, 팀원들과 원만한 관계를 유지할 수 있는 분', '• 능동적이고 주도적이며 책임감이 강하신 분']","['⁃ 월 1회 업무시간 내 사내 동아리 활동 지원', '⁃ 팀원의 성장을 위한 온라인 클래스 및 도서 지원', '⁃ 자유로운 연차 사용 및 근무 분위기', '⁃ 모든 임직원 부캐 이름으로 활동하는 문화', '⁃ 간식 및 다과 상시 구비']","['Pytorch', 'Tensorflow', 'Python', 'Docker']","마포구 동교로154, 2층"
154076,웹 개발자,software engineer,마음주의,"['서울', '한국']","['IT, 컨텐츠']","['• 아래 조건들 중 입사 후 3 개월 이내에 2 가지 이상 충족 가능하신 분', '', '1. Flutter 또는 React.js, Vue.js, Javascript, CSS, HTML5 중 일부', '2. Kotlin 또는 Java 로 Spring Boot, MySQL', '3. WebSocket, WebRTC, React Native, GIT, Linux 중 일부']","['1. 상용 서비스의 개발에서 론칭까지의 경험', '2. WebRTC 를 이용한 화상 통화 구현 경험', '3. TCP, UDP, WebSocket 등을 이용하여 실시간 통신 프로토콜 설계 및 구현 경험', '4. Kotlin, Flutter, Spring Boot 경험', '5. 온라인 게임 서버 또는 클라이언트 개발 경험']","['• 주 4.5일제 (매주 금요일 2시 퇴근)', '• 매주 수요일 자율출퇴근 ', '• 시차출퇴근제', '• 점심 및 간식 제공']","['Git', 'Linux', 'MySQL', 'CSS', 'Java', 'JavaScript', 'Kotlin', 'HTML5', 'React.js', 'React Native', 'Spring Boot', 'Flutter', 'WebRTC', 'Vue.JS']","서울특별시 강남구 테헤란로 123, 503호 (역삼동, 여삼빌딩)"
151173,웹 개발자,리액트 개발자(3년 이상),디퍼루트,"['서울', '한국']","['퇴사율5%이하', '50명이하', '설립3년이하', '스타트업', 'IT, 컨텐츠']","['- 프로젝트를 이해하고 분석하는 능력', '- 리액트를 심도깊게 연구하여 효과적으로 프로덕트를 산출할 수 있는 능력', '- 다양한 해상도 처리 능력', '- 코업하는 서버 사이드에 대해서 커뮤니케이션이 가능할 정도의 이해도', '- 애니메이션 등 연출적 요소를 즐기고 선호', '- 비즈니스 마인드를 기반으로 수행하는 프로젝트 완수 능력', '- 당연히 react.js, html, css, javascript 스킬 필요']","['- 근거 있는 내용을 기반하여 디자이너에게 아이디어를 제시할 수 있는 능력', '- next.js, react native + @']","['- 스톡옵션으로 뜬구름 잡지 않습니다. 디퍼루트의 수익 분배 (Revenue Share) 를 제안 드립니다. (단, 협의를 통함)', '- 초기 스타트업이 갖는 융통성, 수용성, 유연성을 직접 겪으시면서, 디퍼루트의 비전을 함께 가꿔나갈 수 있습니다.']","['Github', 'React', 'CSS', 'HTML', 'JavaScript', 'AWS', 'React.js', 'Next.js']",서울특별시 종로구
143070,웹 개발자,웹 기반 BI 제품 개발,에스티로직(STLogic),"['서울', '한국']","['연봉업계평균이상', '인원급성장', '퇴사율 6~10%', '50명이하', '설립10년이상', '커피', '교육비', '통신비', 'IT, 컨텐츠']","['• JavaScript, Java, Spring, Chart Library 유경험자', '• NodeJS, ReactJS  유경험자']","['• GIS 관련 Openlayers, Mapbox 유경험자']","['#인원급성장#설립8년안정적#GIS#빅데이터#IT#수평적분위기#업계연봉평균이상', '', '출근 시간 선택: 9시~18시', '수평적이고 자유로운 사내 분위기', '자유로운 연차, 반차 사용', '대체 공휴일, 법정 공휴일 휴무', '여름 유급 휴가 3일 지원', '각종 경조사 지원', '설, 추석 명절 선물 지급', '교육비 지원 (업무와 관련 있는 교육 수강 시)', '업무관련 도서비 구매 시 지원', '전 직원 점심 식대 지원', '야근 시 야근 식대 지원', '자유로운 근무 복장 ', '통신비 일부 지원 (부장급 이상)', '매월 1회 팀 별 회식 (자유 참여)', '중소기업청년 소득세 감면 ', '4대 보험, 퇴직금,정규직', '사내 커피 머신 무한 제공']","['Git', 'Java', 'AWS', 'Docker', 'PostgreSQL', 'Spring Framework', 'Spring Boot']","서울 송파구 법원로11길 7, 문정 현대지식산업센터 C동 11층 1105호 (05836)"
