title,company,qualifications,preferred,skills
Android 보안 솔루션 개발직 B (앱수트팀),스틸리언,"[자격 요건]
ㆍ안드로이드 개발 경력이 3년 이상이거나 그에 준하는 실력을 보유하신 분  (경력자 우대)
ㆍPython3, C/C++ 언어 중급 이상 이신 분
ㆍAndroid app 리버싱 경험이 있으신 분
ㆍ해외 여행 결격 사유가 없으신 분","[우대 사항]
ㆍAndroid app 동적 분석 경험이 있으신 분
ㆍAndroid app 분석 도구의 제작 경험이 있으신 분
ㆍ병역특례 전문연구요원의 경우, 신입도 지원 가능",
Android 보안 솔루션 개발직 A (앱수트팀),스틸리언,"[자격 요건]
ㆍ안드로이드 개발 경력이 3년 이상이거나 그에 준하는 실력을 보유 하신 분  (경력자 우대)
ㆍapk, aab 구조에 대한 이해도가 높은신 분
ㆍdex 및 Java ByteCode에 대한 이해도가 높으신 분
ㆍAndroid app 리버싱 경험이 있으신 분
ㆍ해외 여행 결격 사유가 없는 분","[우대 사항]
ㆍIDE Plugin 개발 경험이 있는 분
ㆍProguard 등 난독화 솔루션 사용 및 개발 경험이 있는 분
ㆍ병역특례 전문연구요원의 경우, 신입도 지원 가능",
개발 PM,비티소프트,"? 시스템 개발 혹은 운영 프로젝트 경험자

? 프로젝트 실무수행(최소) 6년 이상

? 프로젝트 PM 경험 (최소) 2년 이상

? 프로젝트 전반에 걸친 공정상의 주요업무를 주도적으로 리딩","? 고객의 니즈와 협업을 주도적으로 이끌어 내시는 분

? 동료와의 협업이 원활하신 분

?  프로젝트 개발 방법론 사용 경험이 있으신 분(애자일 등)

?  유통 및 커머스 구축/수행 경험이 있으신 분

?  IT관련 전공자 혹은 그에 상응하는 기초지식을 가지신 분

?  고객사 근무 경험이 있으신 분",
[병역특례 지원 가능] 소프트웨어 개발 (BSP),드림에이스,? Embedded(Linux) 시스템 개발 관련 경력자,"? Qualcomm, NVIDIA, NXP, Infineon chipset BSP 개발 경험자
? WiFi, Bluetooth, GNSS(GPS), Touch sensor, Camera, Lidar 등 연동장치 경험자


[이러한 동료와 함께 하고 싶습니다!]

? 각종 협업도구와 커뮤니케이션 도구를 사용할 수 있는 이해가 필요해요.
? 기술 트렌드 변화에 지속적으로 관심을 나타내요.
? 새로운 기술에 대해 빠른 적응력이 필요해요.


[제출서류]

? 입사지원서 (필수)
? 경력기술서 (필수)
? 포트폴리오 (선택)
**포트폴리오 제출 시 민감정보 등은 사전에 제외하여 주시기 바랍니다.",
DW/DM 구축 및 비지니스 분석 담당자,케이크,"- SQL,Python에 익숙하고 새로운 개발 언어를 사용하는데 능숙하신 분

- 분석 주제에 맞는 DW/DM 설계 및 구축 경험이 있으신 분

- 비지니스 의사결정에 실제 반영된 분석 경험이 있으신 분

- 논리적인 분석과 유연한 커뮤니케이션으로 구성원들을 설득하고 협업한 경험이 있는 분

- 본인이 맡은 업무에 대해서 주도적이고 책임감 있게 수행하실 수 있는 분

- 최소 3년 이상 해당 직군을 경험하신 분","- 통계,컴퓨터 공학, 데이터 관련 분야 학,석사학위 소유자

- AWS,DataBricks 등 Public cloud 활용 경험

- Bigquerry 활용 경험",
백엔드 개발자,씨너지,"? 관련경력 5년이상
? 호기심많고 긍정적인분
? 원할한 커뮤니케이션(협업, 지식공유, 코드리뷰)
? 애자일 경험
? Spring-Boot를 사용한 REST API 개발에 능숙하신 분
? ORM사용에 능숙하신 분
? DB SQL작성에 능숙하신 분
? MSA에 대한 경험이 있으신 분
? Kubernetes기반의 클라우드 인프라 경험이 있으신 분
? 기술스택: Java, Spring-Boot, maven, gradle, MySQL, Redis, RabbitMQ, websocket
? Tool: Intellij, Github, Notion, Figma","? AWS 혹은 GCP 사용경험이 있으신 분
? CI/CD 구축 경험이 있으신분",
프론트엔드 개발자,씨너지,"? 관련경력 5년이상
? 호기심많고 긍정적인분
? 원할한 커뮤니케이션(협업, 지식공유, 코드리뷰)
? 애자일 경험
? Javascript framework(React, Vue등)를 사용한 Web Application 개발에 능숙하신 분
? Publishing(UI customizing)에 능숙하신 분
? Webpack, Babel, ESLint등에 대한 middleware사용에 대해 능숙하신 분
? 기술스택: Javascript, React, Typescript, css, websocket
? Tool: Visual Studio Code, Github, Notion, Figma","? Mobile(hybrid, native) 개발 경험이 있으신 분
? Kubernetes기반의 클라우드 인프라 경험이 있으신 분
? AWS 혹은 GCP 사용경험이 있으신 분",
프론트엔드 개발자 (3년이상),송아리아이티,"- Javascript ES 5/6 활용에 능숙하신 분 

- AngularJS,  Vue.JS,  React   중 프레임워크 사용 경험","- Flutter 를 사용하여 개발한 경험이 있는 분

- Ionic5 를 사용한 하이브리드앱 개발 경험이 있는 분
 
- Typescript 개발 경험이 있는 분

- 반응형 디자인, 웹접근성을 고려한 UI 개발 경험 있으신 분",
OBD-II/차량 CAN 데이터 분석 엔지니어,알티모빌리티,"? 유관 경험/경력 2년 이상이신 분
? C, C++ 경험이 있으신 분
? 차량 Network/진단 데이터 개발 경험이 있으신 분","? AUTOSAR 혹은 차량 network/진단 개발 경험이 있으신 분
? 차량 진단기 장비 숙련 사용이 가능하신 분",
로보틱스 & 제어 엔지니어,알지에이아이엔씨(RGA Inc.),"? 로보틱스/메카트로닉스/기계공학/전기전자공학 등 이 · 공 계열 학석사 이상 또는 
   그에 상응하는 경력의 소지자
? Robot Control SW / Embedded SW /Device 통신/ Robot 설계 및 제어
? Embedded System 핸들링 능력(Data Processing/CAN/SPI/LAN/GPIO)
? RTOS 기반 메인 컨트롤 SW 개발 및 구현 능력(Multi-task 기반의 Motion Control)
? MATLAB, C++, C#, 3D CAD, ROS 등을 활용한 Robot 개발 및 제품 구현 능력
? 논문이나 기술관련 문서를 이해하고 이를 바탕으로 System 구현이 가능한 능력
? Git을 통한 프로젝트 협업 능력
? 구성원들과의 협업이 가능한 의사소통 능력과 이를 통한 기술적 문제 해결 능력

( 자격요건과 업무 경험은 신입/경력에 따라 or 또는 and 조건이 될 수 있습니다.)","? 로보틱스/메카트로닉스/기계공학/전기전자공학 등 이 · 공 계열 박사 이상
   또는 5년 이상의 실무 경력
? 로봇 제어/설계/ RTOS기반 제어 SW/Firmware/Device 통신/Locomotion(보행로봇) 및 
   Field Test 경험
? 로봇에 대한 Control(position, velocity, impedance control)에 관한 이해와 구현 경험
? 로봇 Kinematics/Robotics 및 구동 메커니즘에 대한 높은 이해
? Vision/Lidar 등의 센서 퓨전을 활용한 환경인식 및 경로 생성
? Slack, Confluence, JIRA 등 협업 툴 경험",
DevOps/인프라 개발자,더쓰리룰스,"? Computer Science, 수학, 통계학 또는 이와 동등한 분야의 학사, 석사 또는 박사 학위.
? DevOps 혹은 인프라 분야 3년 이상 경력
? Bash, Python, Go 또는 이와 유사한 언어에 대한 높은 이해도 및 경험
? CI/CD, Amazon S3, EC2, IAM, CloudFormation 및 Route 53에 대한 탄탄한 이해를 포함하여 AWS에 대한 포괄적인 경험.
? 사용자 액세스, 인증, 사용자 권한 관리 및 보안에 대한 경험.
? 다양한 유형의 로드 밸런서를 사용하여 AWS를 통한 보안 인프라 네트워킹, VPC, 서브넷 및 라우팅 테이블 설정 경험.
? 컨테이너화 및 스케줄링 경험, Docker, 코인테이너 및 Kubernetes 사용 경험.
? 자동 확장, 성능 테스트 및 용량 계획에 대한 경험.
? 자동화, CI/CD, 셀프 서비스 파이프라인을 구축하기 위한 Jenkins, Argo CD 등의 도구 사용 경험.
? 프로덕션 인프라를 소유하고 CloudFormation/Terraform을 사용하여 빌드/배포 및 모니터링/보고 시스템을 설계 및 생성한 경험이 있어야 합니다.
? RESTful 서비스, Pub/Sub 통신 모델, 서비스 지향 아키텍처, 분산 시스템, 클라우드 시스템(AWS) 및 마이크로 서비스 아키텍처 패턴에 대한 경험.
? 버전 관리 시스템(git)에 대한 실무 경험.
? 강력한 서면 및 구두 커뮤니케이션 능력.","? ipfs 및 그래프 노드와 같은 블록체인 관련 기술 작동 경험.
? 블록체인 노드 운영 경험.
? 스타트업에서 근무한 경험.
? 웹 3.0 업계에서 일한 경험.",
백엔드 개발자 (시니어 / 5년 이상),패쓰,"? 신규 서비스 런칭 및 개발 (고도화) 경력 5년 이상
? Java, Kotlin, Spring 프레임워크
? AWS의 서비스(EC2, S3, CloudFront, RDS 등)를 바탕으로 한 개발 경험
? MySQL DB 설계, 관리 경험 (테이블 설계, 최적화, 백업 및 복구)
? 원활한 커뮤니케이션 및 협업 능력
? 새로운 기술, 환경에 대한 오픈 마인드를 가지신 분","? 교육 도메인 (서비스 또는 플랫폼)에 대한 경험
? 대용량 트레픽 처리 경험",
C/C++개발자,보이스아이,"? C/C++
? Visual Studio / Linux 빌드 툴 체인 (GCC, Makefile 등)
? MFC",?QT경험,
JAVA기반 Web application 개발자,디메타,"ㆍ학력: 무관
ㆍ경력: 5년 ~ 10년
ㆍ필수 업무지식 및 경험:
 - HTML, CSS, Javascript에 대한 이해 및 이를 활용한 UI 개발 경험
 - React.js, Vue.js, Angular 등 UI Framework 또는 Library 활용 경험
 - Java 기반 Web Application 개발/운영 경험
 - Spring Framework(Spring Boot) 또는 전자정부 Framework 기반 개발 경험
 - RESTful API 설계 및 개발 경험
 - RDBMS(Oracle/MySQL 등) 기반 DB 설계 및 SQL 개발 경험
 - Mybatis 등 SQLMap 또는 JPA, Hibernate 등 ORM의 활용 경험
 - Git 등 SCM Tool을 통한 형상관리 경험
 - Programming 관련 지식, Network, OS 등 전산학 기본 지식
 - 신기술 및 최신 트렌드에 대한 관심
 - 원활한 커뮤니케이션과 협업 능력","- Netty 등을 활용한 Network Programming에 대한 이해 및 활용 경험
 - RxJava, Reactor, Spring WebFlux 등 Reactive Programming에 대한 이해 및 활용 경험
 - IT관련 자격증",
전기차 충전기 FW개발,브리츠테크놀로지,". MCU 제어 가능자 
. C/C++언어 사용 가능자",". ISO15118, DIN70121, CHAdeMO 규격 경험자",
임베디드 프로그램 개발자,새영테크놀로지,"? 주요업무 수행 능력 가능 하신 분
? 해외여행 결격 사유 없는 분","컴퓨터 공학 및 관련 학과 전공 하신 분
영어 소통 가능 하신 분
유무선 통신 네트워크 및 통신 프로토콜 이해가 있으신 분
엔코더 및 센서를 활용한 모터 드리이브 제어회로 설계 가능하신 분
카메라 등을 활용한 영상 촬영 제어 가능 하신 분",
전기차 충전기 회로 설계,브리츠테크놀로지,"- 회로 설계 툴 활용 가능자(OrCAD)
- 아날로그/디지털 회로 설계 가능자
- EMC 디버깅 경험자
- 운전 가능자
- 해외 여행에 결격 사유 없는자","- 영어/일어 소통 가능자
- 전기기사/산업기사",
AI Language Engineer,알지에이아이엔씨(RGA Inc.),"[What the essential qualifications are for this role]
- 자연어 처리에 관련된 ML / DL 모델 설계 및 테스트
- 기본적인 데이터 전처리에 대한 이해와 경험이 있으신 분
- 대용량의 데이터에 대한 최적화를 고민해보신 분
- API, docker 활용을 경험하신 분
- Artificial Intelligence / Computer Science / Data Science / Statistics / Electric Engineering 등 이 · 공 계열 석사 이상 또는 그에 상응하는 경력의 소지자 
- Python, C++ coding 능력
- PyTorch, Tensorflow, Keras, MXNet 등 deep learning framework 활용 능력
- Git을 통한 프로젝트 협업 능력
- 최신 연구 논문에 대한 리서치 및 아이디어 토론
- 구성원들과의 협업이 가능한 의사소통과 이를 통한 비즈니스 문제 해결 능력","[What will give candidates an advantage are these additional qualifications]
- Artificial Intelligence / Computer Science / Data Science / Statistics / Electric Engineering 등 이 · 공 계열 박사 이상 학위 보유하신분이나 실무 경험 5년 이상 이신 분
- Model Compression (Quantization / Pruning / Knowledge Distillation) 및 Optimization 경험
- Noise Robust / Data Imbalanced Problem에 관한 이해도와 극복 경험
- 제한된 리소스 환경에서 모델 Inference 및 Deployment 경험
- 국제학술대회 (CVPR, ICCV, ECCV, AAAI, IJCAI, ICML, IROS) 등에 논문을 게재한 경험
- ROS, ROS 2를 사용한 기술 개발 경험
- 스타트업 경험
- OS에 대한 높은 이해
- CUDA, OpenCL에 대한 경험
- Slack, Confluence, JIRA 등 협업 툴 경험
- Jenkins, Docker, AWS 등등 전반적인 협업과 배포 경험
- 수학적 사고와 통계, 최적화 등 수학 이론에 대한 높은 이해
- 기계·메카트로닉스 관련 복수 전공자 (석사 또는 박사 학위 소지자)
- 영어 능통자",
Backend 개발자(10년 이상),키노라이츠,"- 10년차 이상의 개발 경력 또는 그에 준하는 개발 실력(언어 무관)
- 웹 서비스에 대한 이해
- RDB, NoSQL 등 데이터베이스 설계 경험
- GraphQL 또는 Rest API 설계 경험
- Git에 대한 이해","- Typescript 또는 Node.js 사용 경험
- Nest.js 등의 framework 사용 경험
- 대용량 DB 설계 경험
- Kafka, RabbitMQ, SQS 등 MQ 사용 경험
- 웹 크롤러 개발 경험
- 테스트 자동화 또는 TDD 경험",
[개발직군] Laravel 백엔드 개발자,더에스엠씨그룹,"? 유관 경력 3년 이상
? PHP 웹어플리케이션 개발 가능
? Mysql(MariaDB), Linux 경험 보유
? RestAPI에 대한 지식이나 경험 보유","? Laravel 웹프레임워크 개발 경험 보유
? AWS 환경 경험 보유
? Redis 등의 메모리 데이터 스토어 사용 경험 보유
? Git 사용 경험 보유",
Unity 개발자,엑스투비,"- 연봉 : 협의 후, 결정 (경력자의 경우, 직전 연봉 대비 인상률 협의)
- 동종업계 경력 3년 이상
- Unity 개발자
- 유사 프로젝트 경험 우대
- 보수적이고 방어적인 커뮤니케이션을 지양하고, 적극적인 의견을 제시할 수 있는 인재",- 유사 프로젝트 경험 우대,
응용프로그램 개발자,플러스파크,"? 경력 1년 이상(신입도 지원 가능)
? C# / WPF 개발 1년이상 경력자
? Socket 통신 유경험자
? PostgreSQL 등 DB 유경험자","? TCP / IP Socket 통신에 대한 이해도가 높으신 분
? Windows Event 에 대한 이해도가 높으신 분
? PostgreSQL 사용이 자유로우며 Stored Procedure 을 잘 사용하는 분
? DevExpress Library 사용 경험이 있으신 분
? MVVM Pattern 에 이해도가 있으신 분
? 공학계열
? 해당직무 근무경험",
[솔루션본부] 프론트엔드(Frontend) 개발자,케이스마텍,"? Vuejs or React or Jquery 개발 경력
? HTML/CSS(SCSS)/Javascript  이해도 
? RESTFull API  클라이언트 Json연동 경험 
? Git의 이해 및 사용 경험 
? 협업 및 원활한 커뮤니케이션 능력","? 웹뷰 내 개발 경험이 있으신분 
? SPA 프레임워크에 사용에 능숙한 분 
? 웹 서비스 성능 개선 경험 있으신 분 
? Typescript 기반의 서비스 개발과 최적화 경험있는 분 
? PC/Mobile 반응형 크로스 브라우징 개발 경험",
개발팀장,핌아시아,"1. 총 개발 경력 10년 이상이신 분
2. 유연한 커뮤니케이션 능력을 보유한 분
3. 개발팀 운영 능력을 보유한 분
4. 이커머스 솔루션 경력을 보유한 분","? 다양한 개발 언어 및 프로젝트 수행 경험이 있는 분
? 대용량 트래픽 처리에 대한 경험이 있는 분
? 이커머스 분야에 대한 높은 이해도와 경험이 있는 분
? 좋은 개발 문화에 관심이 깊거나 도입시킨 경험이 있는 분
? 팀에 필요한 신기술 도입을 검토하고 적용해본 경험이 있는 분",
백엔드 Spring 개발자(대구본사),인터비젼,"[이런 분을 찾고 있어요!]

? 전공 : 관련학과 전공자
? Spring 개발경력 5년 이상
? oracle 경험자
? JSP, JavaScript, Jquery, Ajax 개발 가능
? Mybatis 사용 가능
? Rest API 개발경험 보유","[이런 분을 선호해요!]

? PL 직무경험 보유자 우대
? SI 프로젝트 유경험자 우대
? MVC 패턴 경력보유자 우대
? Git 등 분산버전 관리 능력 보유자 우대",
풀스택 개발자,리즈헬스케어,"언어 JAVA

프론트엔드 CSS, HTML5, jQuery

모바일 React Native

백엔트 Spring Boot, MyBatis, Tomcat, Thymeleaf

클라우드 AWS EC2

데이타베이스 MySQL

OS Linux

기술및도메인 REST API","? 개발 경력 3년 이상
? 인공지능 및 머신러닝 개발 경험 보유",
SAP 담당자,콜마비앤에이치,"? 학사 이상
? 경영정보학, 컴퓨터공학, 산업공학, 정보통신 등 유관 전공 이수","? 정보처리 기사 보유자, 전산회계 자격 보유
?SAP 모듈 컨설턴트 자격 보유자
?SAP 프로젝트 수행 경험자
?SAP 운영 경험자
?제약/건기식 산업 경험자",
DBMS 엔진 개발(전문연구요원),큐브리드,"? Linux 환경에서 C/C++/JAVA를 이용한 개발 경험 
? 시스템 소프트웨어에 대한 이해
? 전문연구요원 요건
    - 병역 미필자로 석사 이상 졸업 및 졸업 예정인 분
    - 타기관에 전문연구요원 재직 중 이직 가능한 분","? CUBRID DBMS 사용 경험
? DBMS 개발 경험
? 시스템 소프트웨어 또는 패키지 소프트웨어 분야에서 6개월 이상의 중장기 개발 프로젝트 참여 경험
? DBMS 또는 컴파일러 전공(석사 이상)
? C/C++/JAVA 외에 다른 언어(PHP, Python, HTML5, JavaScript 등) 개발 경험
? 영어로 기술 문서 작성 및 회화 가능자",
DW모델러,에이블애널리틱스,"? DW/BI 분야 경력 3년 이상 이신분
? DW 개념 및 RDBMS에 대한 이해도 높으신 분
? 풍부한 SQL 작성 능력 보유 하신분","? OLAP/ETL 툴 컨셉에 대한 이해
? Cloud 환경 경험
? 데이터 품질관리 관련 경험
? 데이터 분석 관련 자격증 소지자
? 데이터 기반 문제해결능력 보유하신 분
? 영어가능자, 통계분석능숙자, 해당직무 근무경험, 석사학위 수여자, 박사학위 수여자",
프론트엔드 개발자,가온소프트랩,? 경력 5년 이상 프로젝트 경험이 많으신 분,"? 원활한 커뮤니케이션 가능자
? 다양한 기술 분야에 대한 관심과 경험 보유자
? 우리 회사의 윤리관은 ""상호 간의 예의""입니다. 서로 존중하고, 아끼는 태도를 보여주신다면 환영합니다.",
클라이언트 개발자,더마르스,"? Unity를 이용한 3D게임 개발 경험
? uGUI 개발 경험","? MMORPG 개발 경험
? UniRx 사용 경험
?경력 3년 이상",
풀스텍 개발자(보안),지엔,"? 프론트엔드 or 백엔드 or 풀스택 개발 3년 이상의 실무 경험
 ? 주체적으로 일을 만들고 책임감 있게 주도 하는 분
 ? 동료와의 협업에 능동적이고 협업 효율에 대해 신경 쓰는 분","? IoT 분야에 대한 이해가 있으신 분
 ? IT 보안 분야에 대한 이해가 있으신 분
 ? 기술/목적 조직 리딩 경험이 있으신 분
 ? 서비스 운영 경험이 있으신 분",
풀스택 웹 개발자 (Python/Django),웜블러드,"? 백엔드와 프론트엔드를 구분하지 않고 두루두루 관심이 있는 분
? 유행하는 기술을 추종하기보다는, 문제를 해결하는 적정 기술이라면 최신이든 오래된 것이든 가치를 두는 분
? 기본적인 오픈 마켓에 필요한 DB 모델링을 하실 수 있는 분
? Server-side Django, Front-side Javascript이 혼합되어 사용되는 동작을 이해하고 사용할 수 있는 분
? TailwindCSS 등 여러 CSS 도구의 도움을 받아서, 기획된 UI/UX를 구현할 수 있는 분

[기술 스택]
? Python과 Django, Javascript를 사용합니다.
?? 사업 초반의 빠른 개발을 위해 REST API + SPA 구조 대신, Django template + HTMx를 사용합니다.
?? 빠른 퍼블리싱을 위해 TailwindCSS를 활용합니다.
?? 하지만, 사업이 전개되면서 다른 구조로 변화할 수 있습니다.

? 서비스는 AWS 클라우드상에서 운영합니다.
?? ECS, ECR 등 docker 기술과, [GitLab + CodeDeploy]을 통해 CI/CD 파이프라인이 구축되어 있습니다.
?? DB는 RDS (PostgreSQL)를 사용합니다.
?? 정적 컨텐츠를 위해서 S3 + CloudFront를, 도메인 관리를 위해서 Route53 + ACM을 사용합니다.
?? 위 내용들은 CloudFormation (CDK)을 사용하여 IaC(Infra-as-a-Code)가 적용되어 있습니다.
?? 서비스 모니터링을 위해서 Sentry를 사용합니다. (Error monitoring + APM)","[Team Work 관점에서]
? 긍정적인 마인드셋과 밝은 성격을 가지신 분
? 상호 존중하고 배려하는 마음을 가지신 분

[역량 관점에서]
? 큰 그림에서 일이 되게 하는, 고객에 대한 헌신(commitment)의 자세가 있는 분
? 성장 마인드셋(growth mindset)을 가지신 분
? 대화(dialogue)와 토론(discusion)의 핏이 맞는 분
? 전문적 탁월함(excellency)에 대한 추구, 호기심이 있는 분
? 지식에 대한 갈망을 가지고 지속적 학습을 하시는 분
? 메타인지를 가지고 자기성찰과 다시 생각(re-think)하고 관점 바꾸기를 하실 수 있는 분",
백엔드 서버 개발자,달달프렌즈,"? 경력 3년이상 백엔드 개발 경력 / 학력무관
? Java, Spring, Node 등의 백엔드 개발 숙련자
? AWS 등의 클라우드 기반의 Server 구축 경험자
? Git 등의 형상관리툴을 통한 버전 관리 숙련자
? 개발자, 디자이너와의 원활한 커뮤니케이션 가능자
? 해외 출국에 결격 사유가 없는 분
? 포트폴리오 제출 필수","? 해당직무 근무 경험
? 직무 관련 유사 포트폴리오 보유",
QA 엔지니어,아이엠지베이스,"? 모바일 앱 3년 이상의 QA 업무 경험 혹은 그에 준하는 실력
? 다양한 사용 시나리오를 예상하여 기획 단계 설계 오류에 대해 도출이 가능하신 분
? 동료와 소통하며 지속적으로 앱 개선하는 것을 즐기시는 분
? 계획적으로 일을 진행하여 꼼꼼하게 처리할 수 있는 분
? 자신이 맡은 분야를 주도적으로 이끌어 나갈 수 있는 분","? 자동화된 테스트 환경을 구축해보신 분
? 동영상 편집 프로그램에 대한 이해도가 높은 분
? Asana, Slack, Notion 사용 경험
? 온라인 커뮤니케이션 능력이 높은 분
? 모바일 유틸리티 앱 관련 업무 경험",
데이터베이스 엔지니어,미디어웹,"ㆍ학력 : 학력무관

ㆍ경력 : 경력2년↑","ㆍOracle DBMS에 대한 설치, 백업, 복구, 마이그레이션등 운영경험이 있으신 분

ㆍ기본적인 SQL문 작성과 리눅스 쉘스크립트 작성이 가능하신 분

ㆍOracle/MySQL/MSSQL등 DBMS 운영업무 담당",
AI Engineer / AI Scientist (Senior),디메타,"? Deep learning, Reinforcement Learning, Computer Vision based Image Processing 기반의 알고리즘 또는 시스템 개발 프로젝트 경력이 5년 이상이신 분(유관 전공 석사 이상인 경우 3년 이상이신 분)
? PyTorch, TensorFlow 와 같은 머신러닝 프레임워크를 한 가지 이상 능숙하게 사용할 수 있으신 분
? 최신 논문에 대한 빠른 이해 및 구현 능력이 있으신 분
? 협업 및 의사소통이 원활하신 분","? Artificial Intelligence / Computer Science / Data Science / Statistics / Electric Engineering 등 이 · 공 계열 박사 이상 학위 보유하신 분
? Deep learning, Reinforcement Learning, Computer Vision based Image Processing 기반의 알고리즘 또는 시스템 개발 프로젝트 경력이 7년 이상이신 분(유관 전공 석사 이상인 경우 5년 이상이신 분)
? AI, Deep Learning, Machine Learning 관련 분야 학회 논문 3편 이상 보유하신 분
? OpenAI Gym, Ray와 같은 강화학습 프레임워크에 대한 경험이 있으신 분
? 교통/물류 관련 예측 및 최적화 프로젝트 경험 혹은 영상 관련 프로젝트 경험이 있으신 분
? 본인의 의사표현을 글로써 잘 표현할 수 있으신 분",
[솔루션본부] IOS 모바일 앱 개발자,케이스마텍,"? IOS 개발 4년 이상
? Switft 언어 및 IOS 플랫폼에 대한 이해도 필요
? AutoLayout에 대한 이해도 필요
? 모바일 UI/UX에 대한 개발 경험
? 새로운 기술 트랜드에 대한 지속적인 관심과 배움의 자세","? Git, Zeplin 등 협업 툴 사용 경험
? 앱스토어에 IOS 상용 어플리케이션 배포 경험
? 보안 관련 지식 및 암호와 알고리즘에 대한 이해
?BLE 기능 개발 유경험자",
"C/C++ 개발자, 응용SW개발자",요트,"? 학력: 대졸이상
? 경력: 3년 이상",? 유관 소프트웨어 개발 경험,
ASP.NET 개발자,스파이더크래프트,"- 인증시스템(OAuth2)개발 경험자 
- 연동 API 개발 경험자
- MS-SQL 사용 경험자","- 기존 코드에 대한 이해가 빠르고, 문제 해결 능력과 다른 파트와의 원활한 협업이 가능하신 분",
모바일 퍼즐게임 Server Programmer,퍼즐원스튜디오,"- 개발 경력 4년 이상이신 분
- 주도적으로 백엔드 개발을 한 경험이 있으신 분
- RDB 및 nosql에 대한 이해 및 경험이 있으신 분
- Docker, kubernetes 를 사용한 서비스 개발 및 구축, 운영 경험이 있으신 분","- 사내용 프론트작업 경험자
- node.js 사용자",
SW 시험인증원,에스티에이테스팅컨설팅(STA),"? 학력 : 초대졸 이상(2,3년)
? 성별 : 무관
? 학력 : 무관","? 소프트웨어 시험 및 인증 업무 경험자
? 소프트웨어 테스트 경험자
? ISTQB 및 QA 관련 자격증 소지자
? 리더(팀장, 매니저, 파트 리더) 경험자",
Frontend 개발자(5년 이상),키노라이츠,"- 5년차 이상의 개발 경력 또는 그에 준하는 개발 실력
- 웹 서비스에 대한 이해
- UI/UX에 대한 이해
- 웹 사이트 최적화에 대한 이해
- React 등의 framework 사용 경험
- Recoil, Redux 등 상태 관리 library 사용 경험
- 테스트 자동화 또는 TDD 경험
- Git에 대한 이해","- Typescript 사용 경험
- GraphQL 또는 Rest API 사용 경험
- React native 혹은 native app 개발 경험
- 백엔드에 대한 이해",
AI Engineer / AI Scientist (Junior),디메타,"? Python, C++ 를 사용하여 알고리즘 또는 시스템 개발 경험이 있으신 분
? Artificial Intelligence / Computer Science / Data Science / Statistics / Electric Engineering 등 이 · 공 계열 학사 이상 학위 보유하신 분
? PyTorch, TensorFlow 와 같은 머신러닝 프레임워크 사용 경험이 있으신 분
? 협업 및 의사소통이 원활하신 분","? Artificial Intelligence / Computer Science / Data Science / Statistics / Electric Engineering 등 이 · 공 계열 석사 이상 학위 보유하신 분 
? Deep learning, Reinforcement Learning, Computer Vision based Image Processing 기반의 알고리즘 또는 시스템 개발 프로젝트 경력이 있으신 분 
? AI, Deep Learning, Machine Learning 관련 분야 학회 논문 1편 이상 보유하신 분 
? 최신 논문에 대한 빠른 이해 및 구현 능력이 있으신 분
? 교통/물류 관련 예측 및 최적화 프로젝트 경험 혹은 영상 관련 프로젝트 경험이 있으신 분",
Back-end 개발자,픤디(어카운즈),"?   5년 이상 Back-end 개발경험과 프로젝트를 처음부터 끝까지 구축해 보신 분
?  JAVA, node.js Spring boot, Spring WebFlux 능숙하신 분?
?  Asnyc, Non-blocking의 이해가 높으신 분
?  AWS Cloud, MSA 에 대한 경험 및 이해가 있으신 분
? 데이터 베이스 설계 경험이 있으신 분
? 새로운 기술에 관심이 많고 적용해 보는 것을 좋아하시는 분
? 기획/디자인/개발/운영 등 다양한 직군과 협업능력을 갖추신 분",,"['Java', 'Node.js', 'AWS', 'Spring Boot']"
Backend Developer,이노바이드,"? 개발 경력이 4년 이상이며 혹은 이에 준하는 역량을 갖추신 분
? Java(Kotlin), Spring Framework를 활용하여 웹서비스 및 API 서버를 개발한 경험이 있는 분 
? Git을 이용하여 형상 관리의 경험이 있으며, 단위/통합 테스트에 능하신 분
? 데이터 분석을 위한 설계에 대해 이해도가 높으신 분
? DDD, 클린 아키텍쳐, DI, 디자인 패턴에 관심이 있는 분","? 온라인 결제 시스템 연동 및 운영 혹은 정산 시스템 개발 및 운영 있는 분
? Data Visualization 프로젝트 있는 분
? 대용량 트래픽 처리를 위한 Server Architecture 설계를 경험이 있는 분
? 다양한 상용 서비스 개발 / 운영 / 트러블슈팅 경험이 있는 분
? 데이터베이스 등 서비스 성능 최적화 경험이 있으면 좋아요
? Github Action, AWS 기반의 DevOps 경험이 있으면 좋아요",
HW 개발자,넥스트온,"? 통신(485,TCP/IP 등 다양한 프로토콜 경험자)
? PLC연동 프로젝트 경험자","?  라이브러리 제작 가능자
? 스마트팜, 스마트팩토리 개발 경험자",
