title,company,qualifications,preferred,skills
프론트엔드 개발자,메타솔루션,"? 포항 출퇴근 가능자
? HTML, CSS, javascript, Ajax 숙련자
? 프레임워크 또는 UI 개발 도구 없이도 원하는 웹 페이지의 스크립트 작성 가능자","? VUE.JS / REACT.JS 개발 경험자
? GRID 형태의 관리자 웹 페이지 개발 경험자",
백엔드 개발자,메타솔루션,"? 포항 출퇴근 가능자
? 관계형 데이터베이스 설계 및 효율적인 SQL 쿼리 질의 가능자
? 개발환경 : Linux (CentOS), PHP, Mysql (Maria DB)
? 위 환경 외 Python, JAVA 등 백엔드 담당자로서 숙달된 개발 언어가 있으신 분","? 어플리케이션의 개발 단계부터 상용화까지 서버 개발자 실무 경험자
? 클라이언트 개발자와 API 관련 협업에 능숙자
? NODE.JS 개발 경험자",
RF무선통신 담당자 (3년이상),유브릿지,? RF 업무 개발 경력,"? 위성 통신 분야 경험자
? 방산업체 경력자 우대",
VxWorks OS 소프트웨어 담당자(5년 이상),유브릿지,? VxWorks OS 포팅 경력,? 업무 개발 관련 교육 이수 및 경력 사항,
[Senior] Backend(Python) Engineer,프리디소프트,"? 7년 이상의 웹개발 경험 (RESTful API, 웹소켓 설계 및 개발경험)
? python + python framework (django, flask, fastapi 등 사용) 5년 이상 경력자
? NoSQL, SQL 기반 DB 모델링 및 적합한 사용이 가능하신 분
? MSA 구축 경험 및 아키텍처 설계가 원활하신 분
? Grpc, GraphQL, Websocket API 등 설계 및 개발 경험이 풍부하신 분
? Log system, Monitoring System, CI/CD, Web 보안 설계가 가능하신 분","? 능동적인 문제 해결 능력과 비개발직군과의 커뮤니케이션 능력이 뛰어나신 분
? 큰 규모의 프로젝트 설계 경험이 있으신 분
? 서버리스 스택에 대한 이해가 있으신 분
? 리서치한 내용과 경험을 적극 공유하시는 분
? 문제 파악과 해결에 적극적이신 분
? waterfall과 agile 방식 모두 관리해 본 경험이 있으신 분
? e-commerce 업계에 종사한 경험이 있으신 분

[채용 절차]
서류 전형 - HR 면접 - 실무진 면접 - 팀리드 면접 - 최종 합격 (임원 면접이 추가될 수 있습니다.) 

[입사 유의사항]
? 인턴을 제외한 모든 직무는 3개월 수습기간이 있습니다.
? 수습기간 동안 급여(100%) 및 복지는 차등 없이 지급됩니다.
? 입사지원 서류에서 허위기재 사실이 발견될 경우, 입사가 취소될 수 있습니다.",
모바일(Android) 앱 개발,메디플러스솔루션,"[필수요건] 
? 최소 5년 이상의 Android 앱 개발 경험이 있으신 분
? 기획/디자인/QA 등 타 파트와의 원활한 커뮤니케이션이 가능하신 분
? Play Store 앱 배포 및 실 서비스 운영 경험이 있으신 분 
? Java, Kotlin 에 대한 높은 이해 및 능숙하신 분
? 객체 간 이벤트 처리에 대한 높은 이해 및 능숙하신 분
? 관련 전공 학사 이상","** 아래 중 하나라도 해당되시면 우대합니다.
? 관련 경력 8년 이상이신 분
? Android/iOS 개발 모두 경험하신 분
? 기획 문서 기반 설계 도출 가능하신 분
? 5인 이상 프로젝트에서 개발 리더 혹은 프로젝트 PM 경험이 있으신 분 
? 하이브리드 앱 개발 경험 및 Javascript 능숙하신 분",
CTO or 개발리더 (10년차 이상),물류대장,"- 관련 경력 10년 이상 또는 그에 준하는 역량을 보유하신 분
- 구성원의 심리적 안정감을 중요시하면서, 결과물 중심으로 일하시는 분
- 개발 조직을 리딩해 본 경험이 있으신 분
- 플랫폼 서비스 개발과 아키텍쳐 설계를 경험하신 분
- 분산 아키텍처로의 전환과 장단점에 대해 깊은 기술적 이해가 있는 분
- 코드를 읽고 분석하는 능력이 뛰어나신분","- B2B&B2C 서비스 사업에 대한 이해도가 높으신 분
- 물류 스타트업, 대기업의 조직문화 또는 기술 경험이 있으신 분
- 애자일 조직을 리딩한 경험이 있으신 분
- 대기업과 스타트업을 모두 경험하신 분",
FPGA 하드웨어 담당자(5년 이상),유브릿지,■ 관련 분야 경력 5년 이상,■ 업무 개발 관련 교육 이수 및 경력 사항,
데이터 패킷 분석 솔루션 개발 (3년 이상),엔에스원소프트,"? 학력: 초대졸이상
? 경력 3년 이상


[전형절차]
? 서류전형 ＞ 1차면접 + 임원면접 ＞ 최종합격
? 면접일정은 추후 통보됩니다.
? 불합격자는 별도 통보하지 않습니다.",? 유관업무 경력자 (3년),
솔루션 서버파트 개발자 (4년 이상),엔에스원소프트,"? 학력: 초대졸 이상
? 경력 4년 이상

[전형절차]

? 서류전형 ＞ 1차면접 + 임원면접 ＞ 최종합격
? 면접일정은 추후 통보됩니다.
? 불합격자는 별도 통보하지 않습니다.","? 컴퓨터공학 전공자
? 전문교육 이수자(6개월 이상)
? 유관업무 경력자(4년이상)
? 인근거주자
? 즉시출근 가능자
? 장기근무 가능자",
